link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/aZrVWZn,Funny,2022-05-28,The great debate,18,28,8
https://9gag.com/gag/azeBzyB,Funny,2022-05-26,"Looking at you, Shad.",600,16,53
https://9gag.com/gag/a71GAqw,Funny,2022-05-25,When you order Guardians of the Galaxy from Wish.,4300,211,143
https://9gag.com/gag/aPZnqLR,Ask 9GAG,2022-05-18,Opening a feels bar guys. I gotta story of my own I would like to start with.,9,7,22
https://9gag.com/gag/a41Vwby,Anime & Manga,2022-05-17,Captain what is the song name?,188,12,11
https://9gag.com/gag/aVxB2GO,Funny,2022-05-17,"Desperate times, desperate measures.",48,53,12
https://9gag.com/gag/aYrA7D0,Funny,2022-04-30,Is this racist? Yes. Do I care? No.,238,26,5
https://9gag.com/gag/azeY8Lz,Funny,2022-04-30,I haved live outside the U.S. I have lived inside the U.S. . Even after insurance the prices are ridiculous.,32,13,9
https://9gag.com/gag/a0ZED3B,Funny,2022-04-27,Amber Heard’s lawyers thinking of new ways to win the case.,28,6,2
https://9gag.com/gag/awzmQd1,Gaming,2022-03-18,The Gambit Experience,44,14,2
https://9gag.com/gag/a516ZDN,Gaming,2022-03-10,Say what you will about Bungie. They can still make a fire soundtrack.,43,7,9
https://9gag.com/gag/angg66n,Funny,2022-02-19,"No, this is not a jojo reference.",23,5,3
https://9gag.com/gag/aOQ7G8R,WTF,2022-02-01,"Whatever happens to the avatar Netflix series, it can’t possibly be as bad as this.",29,40,46
https://9gag.com/gag/a21Wdxw,Gaming,2022-01-29,Anyone else think bioware is on its last legs?,177,43,90
https://9gag.com/gag/ang5v8E,Gaming,2022-01-24,It’s all about good sportsmanship.,449,29,20
https://9gag.com/gag/aQX162w,Movie & TV,2022-01-20,The mighty fall further with each passing year.,6300,169,159
https://9gag.com/gag/aRr1vgq,Funny,2022-01-16,Mario ain’t got time for thots,396,251,30
https://9gag.com/gag/a91KqL6,Gaming,2022-01-15,Me reading the comments under God of War posts,80,23,29
https://9gag.com/gag/aGzZ9Y7,Funny,2022-01-12,Silver linings I suppose,89,29,13
https://9gag.com/gag/aNP1onK,Funny,2022-01-05,"It’s a hard knock life, for Lebs.",546,26,39
https://9gag.com/gag/aLvDn0M,Superhero,2021-12-23,My cinema experience with NWH,472,27,19
https://9gag.com/gag/abg0qXE,Gaming,2021-11-27,How do they compare?,21,30,45
https://9gag.com/gag/aog9mXg,Gaming,2021-11-26,What is your favorite boss theme song?,90,14,30
https://9gag.com/gag/a61LjdN,Wholesome,2021-11-23,"Every year it gets a little harder to find real porn thanks to subscription websites like onlyfans. If any of you are on here, you’re awesome.",0,0,0
https://9gag.com/gag/arnRo1p,Superhero,2021-11-21,"Not as old as others that have been posted, but still wanted to share.",51,15,5
https://9gag.com/gag/aYrwepm,Funny,2021-11-20,Oof,21,11,9
https://9gag.com/gag/a51eWjE,Funny,2021-10-21,"It was getting quick upvotes too. Oh well, snooze you lose I guess.",0,0,0
https://9gag.com/gag/avApreE,Gaming,2021-10-20,Me after finding out more people will get to enjoy GOW,436,54,113
https://9gag.com/gag/arn1r1y,Funny,2021-10-17,Just a shitpost,8,16,1
https://9gag.com/gag/aNp64Q3,Anime & Manga,2021-09-23,So this is a thing,66,6,16
https://9gag.com/gag/aEpLM9K,Funny,2021-09-22,Sorry about the watermark,63,22,12
https://9gag.com/gag/aLpxvR6,Funny,2021-09-14,If it’s so good why don’t you just drink it then?,2600,87,91
https://9gag.com/gag/aO3EjZy,Funny,2021-08-11,Can I get an Amen?,174,19,24
https://9gag.com/gag/aAbAPRZ,Funny,2021-08-08,Do you guys see it anywhere?,2400,376,209
https://9gag.com/gag/a9EegG1,Funny,2021-08-06,Cheers to the weekend boys!,1100,72,44
https://9gag.com/gag/awMD52B,WTF,2021-08-01,Starting to see more memes about dababy.,210,51,23
https://9gag.com/gag/amPyrz9,Funny,2021-08-01,More in common than you think.,45,14,5
https://9gag.com/gag/aAbLnpg,Funny,2021-07-30,Another week complete! (I decided to post this every Friday),1,0,0
https://9gag.com/gag/aAbLeZg,Funny,2021-07-26,Teela From Masters of the Universe,20,11,2
https://9gag.com/gag/a07zrQZ,Funny,2021-07-23,Another week complete!,519,54,21
https://9gag.com/gag/aXoG5r9,Animals,2021-07-16,When you realize what a fat f**k you’ve become (yes I know some people don’t deserve to be pet owners),2,4,0
https://9gag.com/gag/aZ0VwQW,Movie & TV,2021-07-13,"Netflix will he release an animated witcher movie on August 23. It will be about the sacking of Kaer Morhen, Vesemir will be the main protagonist.",0,0,0
https://9gag.com/gag/a5Ex9bO,Funny,2021-07-08,That’s how I see it.,280,82,81
https://9gag.com/gag/amPnwP6,Funny,2021-07-02,Another week survived boys.,472,43,36
https://9gag.com/gag/aB2ov9A,Funny,2021-07-01,Looks like we will be getting more barbecue sauce soon.,97,23,16
https://9gag.com/gag/anQVzjz,Movie & TV,2021-06-29,"It do be like that most times, I wouldn’t be opposed, if there were white people representing black characters.",3600,149,206
https://9gag.com/gag/aeARzrW,Funny,2021-06-25,"We’ve all been there once, share your stories.",291,20,20
https://9gag.com/gag/av597wW,Girl,2021-06-21,"If any of you are out there, just know you have my utmost respect.",10,5,3
https://9gag.com/gag/a9EOAnK,Funny,2021-06-14,"(In reality) there are no chicks with dicks, only guys with tits",23,5,3
https://9gag.com/gag/aoMY2P0,Funny,2021-06-14,9gaggers when you get a girlfriend and lose your virginity.,42,13,7
https://9gag.com/gag/agB75o6,Funny,2021-05-13,No no He’s got a point.,803,59,31
https://9gag.com/gag/axMvDKL,Funny,2021-05-06,How this scene should have gone down. (Invincible spoilers),26,51,6
https://9gag.com/gag/a3EAvKm,Funny,2021-05-05,Feels bad man.,4100,325,110
https://9gag.com/gag/aDd68y7,NSFW,2021-05-02,He’s returned!,596,70,32
https://9gag.com/gag/azMeALZ,Funny,2021-04-04,Is superstraight still a thing?,230,44,68
https://9gag.com/gag/apNN4vE,Random,2021-04-02,"After 40 days of lenting, I am finally ready to have some fun.",17,3,21
https://9gag.com/gag/ajmmMGQ,Funny,2021-04-01,No resurrections this time.,14,9,1
https://9gag.com/gag/a077nRB,Random,2021-03-31,"Feels bad man. (I would have put it in the feels section, if there was one).",21,4,1
https://9gag.com/gag/aqjjRdR,Funny,2021-03-31,Sonic’s the name tires’ my game!,6,2,1
https://9gag.com/gag/aYoydrv,Awesome,2021-03-26,I know it was more than that...But still.,722,32,19
https://9gag.com/gag/aqj76MY,Funny,2021-03-06,"Of all the memes that were trends on 9gag throughout the years, these ones were some of my favorites.",109,8,0
https://9gag.com/gag/a1roYNP,Relationship,2021-03-03,"The more photos and videos of girls I see on 9gag, the more I realize.",122,21,3
https://9gag.com/gag/a1rbrxw,Random,2021-02-20,I can already hear you guys calling me simp.,37,13,20
https://9gag.com/gag/amPYXGo,Funny,2021-02-18,"As you can see, not mine. Still funny tho.",62,15,5
https://9gag.com/gag/a5EZ42y,Funny,2021-02-18,There is much we can learn from them.,15,6,1
https://9gag.com/gag/aV7DxNM,Funny,2021-02-14,The real reason valentine’s day was celebrated.,12,5,0
https://9gag.com/gag/amPr8K2,Funny,2021-02-13,Rule 63 (although I feel that he should have been thinner).,14,17,2
https://9gag.com/gag/a8E4D9Z,Random,2021-02-09,This a repost. Just to helpbshare the message.,0,0,0
