link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/aegPRRW,Funny,2022-06-02 22:55:36.177119,"Colorado kids, 1915 - so much privileged",53,14,9
https://9gag.com/gag/aGzNVV0,Funny,2022-05-28 00:00:00.000000,Aw so lovel... hold up,28,91,6
https://9gag.com/gag/a81nxD3,Funny,2022-05-26 00:00:00.000000,Good bye,0,0,0
https://9gag.com/gag/amgdAE4,Funny,2022-05-23 00:00:00.000000,Wiccan,67,18,15
https://9gag.com/gag/apg8489,Funny,2022-05-19 00:00:00.000000,"After ""death by snu snu"" now we have.....",4300,156,241
https://9gag.com/gag/aBnoOVA,Funny,2022-05-17 00:00:00.000000,It's true,143,17,8
https://9gag.com/gag/avA9jXd,Funny,2022-05-11 00:00:00.000000,When you buy your electric SUV on Alibaba,9,3,2
https://9gag.com/gag/aGzO66G,Funny,2022-05-03 00:00:00.000000,Even fellow mexicans are racist towards the 13%,9,10,8
https://9gag.com/gag/ajgWKO0,Funny,2022-05-02 00:00:00.000000,Watchout guys,58,130,23
https://9gag.com/gag/aBnOW4z,Funny,2022-04-30 00:00:00.000000,I'm vert shy loooool,45,43,16
https://9gag.com/gag/ay9QQOX,Funny,2022-04-25 00:00:00.000000,Best wank of the month,0,0,0
https://9gag.com/gag/a11LQYR,Funny,2022-04-23 00:00:00.000000,No title needed,19,7,19
https://9gag.com/gag/angED8n,Funny,2022-04-18 00:00:00.000000,Twitter is for ghe,569,154,96
https://9gag.com/gag/aXr75w6,Funny,2022-04-13 00:00:00.000000,Tigeeeer maaaaannnnn!,1200,227,39
https://9gag.com/gag/aAGMGvL,Awesome,2022-04-09 00:00:00.000000,"""Western has no culture""",1900,233,245
https://9gag.com/gag/avAEdMb,Funny,2022-04-04 00:00:00.000000,THIS,24,19,7
https://9gag.com/gag/aM4nzw6,Funny,2022-04-03 00:00:00.000000,He farted 63 minute no stop,1600,188,49
https://9gag.com/gag/ang2odb,Funny,2022-03-29 00:00:00.000000,Latest Will Smith movie,30,80,2
https://9gag.com/gag/azeKR6B,Funny,2022-03-28 00:00:00.000000,Greatest simp in history,29,42,4
https://9gag.com/gag/aVxKjLv,Funny,2022-03-23 00:00:00.000000,Reverse gear cordon bleu,10,4,5
https://9gag.com/gag/aRrZ0Ly,Funny,2022-03-18 00:00:00.000000,Weird laugh but still,3000,163,283
https://9gag.com/gag/a619N1m,Funny,2022-03-18 00:00:00.000000,Oh that's a big geh,1900,265,176
https://9gag.com/gag/aZrwPq9,Funny,2022-03-16 00:00:00.000000,Oltre but gold,27,11,4
https://9gag.com/gag/aOQeYN2,Funny,2022-03-11 00:00:00.000000,"The big geh, soon in your country.",10,13,5
https://9gag.com/gag/axBBgrL,Funny,2022-02-13 00:00:00.000000,I dieded,108,33,18
https://9gag.com/gag/aegA7Yq,Funny,2022-02-08 00:00:00.000000,Best fap ever,31,7,24
https://9gag.com/gag/azemdDq,Funny,2022-01-31 00:00:00.000000,"Clown world is the new normal, for someone",7100,526,420
https://9gag.com/gag/aAGgE8p,Funny,2022-01-23 00:00:00.000000,Me pee pee feels weird,74,26,4
https://9gag.com/gag/aLvg7rV,Funny,2022-01-19 00:00:00.000000,I miss that man and I'm not even from US,155,53,33
https://9gag.com/gag/a91KA9j,Random,2022-01-14 00:00:00.000000,Now you know,25,13,17
https://9gag.com/gag/aAG312L,Funny,2022-01-13 00:00:00.000000,Spread love and kindness,9,23,2
https://9gag.com/gag/azeXxKx,Italy 🇮🇹,2022-01-07 00:00:00.000000,Questa possono capirla solo gli italiani,0,1,0
https://9gag.com/gag/aogNM8g,Funny,2022-01-07 00:00:00.000000,Sorry for the cancer logo,0,0,0
https://9gag.com/gag/amg24L6,Wholesome,2022-01-03 00:00:00.000000,"Raffaello, Athen School. The peak pf western culture.",75,11,12
