link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/a81QRQ3,Random,2022-06-11 17:13:08.531087,🥺😭🌩️😢😰,13,44,10
https://9gag.com/gag/a91Z1d6,Random,2022-06-07 22:13:08.531087,"All animals have the ability to suffer, regardless of how we view them.",14,131,60
https://9gag.com/gag/ang8v9b,Coronavirus,2022-06-08 22:13:08.531087,The elite paid to be injected with saline solution instead of the novel gene therapy bio weapon.,66,79,96
https://9gag.com/gag/avA4E8X,Funny,2022-06-08 22:13:08.531087,"Laid the curb stops, boss",7,38,7
https://9gag.com/gag/a91ZRA6,WTF,2022-06-07 22:13:08.531087,This teacher is the definition of a narcissistic groomer,12,291,62
https://9gag.com/gag/aegygYj,Funny,2022-06-07 22:13:08.531087,"Ok, what the heck is this?",34,11,16
https://9gag.com/gag/a41m1Zd,Awesome,2022-06-07 22:13:08.531087,How do they work?,7,44,12
https://9gag.com/gag/a11BoBR,WTF,2022-06-07 22:13:08.531087,"Took me the better of 4 years to land 17 dates, she agreed to a second date.",507,83,232
https://9gag.com/gag/aBnjggD,Random,2022-06-07 22:13:08.531087,#5. I like how this one turned out.,10,32,5
https://9gag.com/gag/a81Q55Z,Funny,2022-06-07 22:13:08.531087,"Great way to go, with the food you love",34,17,13
https://9gag.com/gag/a31eKxe,Awesome,2022-06-07 22:13:08.531087,Gotta be done..,132,41,33
https://9gag.com/gag/a81Qop6,Random,2022-06-06 22:13:08.531087,4 things I won't See in my Short Life.,51,20,14
https://9gag.com/gag/aZroNLz,Funny,2022-06-05 22:13:08.531087,No complaints,614,28,42
https://9gag.com/gag/aVx4qqO,Funny,2022-06-06 22:13:08.531087,Forgiven,3300,253,120
https://9gag.com/gag/aXrQXYD,Random,2022-06-05 22:13:08.531087,She may be onto something there,68,81,31
https://9gag.com/gag/aXrQXW2,Science & Tech,2022-06-06 22:13:08.531087,A 20 minutes space drawing I'd like to share with you all,38,7,3
https://9gag.com/gag/aDDNp2w,Random,2022-06-04 00:00:00.000000,Thats a good point,83,101,52
https://9gag.com/gag/avA4Loq,Random,2022-06-06 22:13:08.531087,I hit the griddy on a dead racoon,2,24,73
https://9gag.com/gag/aNP8oow,Savage,2022-06-05 22:13:08.531087,How sane person view on pride parade,85,32,11
https://9gag.com/gag/a0ZzYRv,Random,2022-06-05 22:13:08.531087,They've been working at for decades,36,115,44
https://9gag.com/gag/apgzBQb,WTF,2022-06-05 22:13:08.531087,What a clown country,110,18,15
https://9gag.com/gag/aVx4Xw2,Funny,2022-06-06 22:13:08.531087,Dirt and Blood Came Right Out,25,5,7
https://9gag.com/gag/amgK8vy,Random,2022-06-06 22:13:08.531087,Those home economics skills,19,28,6
https://9gag.com/gag/aAGqR4E,Funny,2022-06-05 22:13:08.531087,"Only Shrek can deliver us from evil, for he is love.",1300,85,45
https://9gag.com/gag/aZrVAXQ,Funny,2022-06-04 00:00:00.000000,Finally HE achieve his goal...,850,26,20
https://9gag.com/gag/a31pOXN,Funny,2022-06-03 00:00:00.000000,So Muri©unts and Eurogollums females don't go to beauty salon for skin care regularly? My gf goes 3 times/week and you call yourselves rich countries?,23,132,35
https://9gag.com/gag/aQXNwyr,WTF,2022-06-04 00:00:00.000000,So so proud,0,66,9
https://9gag.com/gag/a91NQyW,Random,2022-06-04 00:00:00.000000,Ruining The Vibe,8,227,53
https://9gag.com/gag/a31p911,Random,2022-06-04 00:00:00.000000,Profits,81,44,17
https://9gag.com/gag/a613v1q,Random,2022-06-04 00:00:00.000000,There is no more common ground,26,145,48
https://9gag.com/gag/aPZdNgR,Funny,2022-06-04 00:00:00.000000,Smash or pass?,36,33,33
https://9gag.com/gag/angWp7q,Ask 9GAG,2022-06-04 00:00:00.000000,If you'd like to view your public stats let me know. More metrics to come.,3,17,23
https://9gag.com/gag/angWLoq,Random,2022-06-04 00:00:00.000000,Wild,79,40,7
https://9gag.com/gag/aXrGyxb,Funny,2022-06-04 00:00:00.000000,"Just messing around with you f**kers, have a great weekend!",56,29,21
https://9gag.com/gag/avAX3qb,Random,2022-06-04 00:00:00.000000,Weird but acceptable !!,50,15,7
https://9gag.com/gag/a41rDyQ,Funny,2022-06-04 00:00:00.000000,Well? What would you tell her?…,405,39,205
https://9gag.com/gag/aRrNYdG,Random,2022-06-04 00:00:00.000000,Missing the bags.,45,17,10
https://9gag.com/gag/a11qGjG,Random,2022-06-04 00:00:00.000000,Which waters to avoid,22,5,13
https://9gag.com/gag/aKmNr5b,Relationship,2022-06-04 00:00:00.000000,This time she has a flu so I send her to the doctor 'cause I was feed up of her whimps,96,28,35
