link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/agg6MNx,Funny,2022-06-12 11:52:23.325707,At least I don't have bieber fever,16,54,18
https://9gag.com/gag/aDDqA7Z,Gaming,2022-06-12 16:52:23.325707,What's not to love? Still the best AC game after they killed Desmond imo,1400,125,77
https://9gag.com/gag/awzPqdQ,Funny,2022-06-12 11:52:23.325707,Share your darkest Sesame street memes,8400,659,354
https://9gag.com/gag/aGzr9P7,WTF,2022-06-12 21:52:23.325707,Wedding in Uzbekistan,28,60,36
https://9gag.com/gag/a31zPV8,Random,2022-06-12 18:52:23.325707,"To repent, we must admit to ourselves that we have sinned. The confession booth is open..",8,15,9
https://9gag.com/gag/a118vG6,Animals,2022-06-12 18:52:23.325707,🦝 are awesome! 💕,16,45,3
https://9gag.com/gag/aZro9XW,Funny,2022-06-12 11:52:23.325707,The Golden Ratio,123,28,12
https://9gag.com/gag/apgze75,Random,2022-06-12 11:52:23.325707,Anne Franks diary became famous all over the world,26,37,24
https://9gag.com/gag/a31emb5,Funny,2022-06-12 11:52:23.325707,That's not a Human....,73,34,13
https://9gag.com/gag/awzPwY8,Funny,2022-06-12 11:52:23.325707,All Diablo Immortal palyers RN,31,8,7
https://9gag.com/gag/apgzO6M,Gaming,2022-06-12 11:52:23.325707,Grabbed by zombies,29,50,10
https://9gag.com/gag/aQXBGee,Awesome,2022-06-12 11:52:23.325707,Hitler watching 1936 Olympics high on dexamphetamine,613,52,77
https://9gag.com/gag/apgz4NM,Funny,2022-06-12 11:52:23.325707,Ooppssssss,152,122,36
https://9gag.com/gag/a91ZZQD,Satisfying,2022-06-11 11:52:23.325707,Deserved,512,58,61
https://9gag.com/gag/aAGqqdE,WTF,2022-06-10 11:52:23.325707,Old times,149,169,49
https://9gag.com/gag/a6144bm,Random,2022-06-10 11:52:23.325707,Be Kind,2000,302,59
https://9gag.com/gag/a2199rZ,Funny,2022-06-10 11:52:23.325707,Oooh...that level,3000,46,185
https://9gag.com/gag/aAGqqdL,Random,2022-06-10 11:52:23.325707,Washed and unwashed 'fish',320,30,43
https://9gag.com/gag/aQXBOBe,Random,2022-06-10 11:52:23.325707,Just a thing,40,22,25
