link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/apgje1E,Funny,2022-06-04,Nah… we don’t do that stuff around here…,28,8,4
https://9gag.com/gag/aDDNrgK,Funny,2022-06-03,When someone critiques my MCR patch. {Ivanka Trump btw. (yes its from twitter shut up you didnt know that) you never even noticed the watermark},9,52,5
https://9gag.com/gag/aZrVQOn,Funny,2022-06-01,Prepare for nostalgia… too late..,2,19,1
https://9gag.com/gag/amgbr1X,Funny,2022-05-29,POV: you have bad connection,1,1,0
https://9gag.com/gag/aqGde7j,Funny,2022-05-23,"This is my new template “communist crush” plz change the colors in ur mind to blue and yellow, and blue white and red. Ofc if you read this last you already did.",66,56,19
https://9gag.com/gag/aQXrMw7,Funny,2022-05-21,Let us rehash the memes brethren. Rip MacMiller,36,14,1
https://9gag.com/gag/a81VgeV,Funny,2022-05-11,Chernobyl: the classified story.,16,20,8
https://9gag.com/gag/aYrRm0V,Anime Waifu,2022-05-10,All hail the jsdf,1,0,0
https://9gag.com/gag/aggKjbq,Funny,2022-05-10,All hail the JSDF,416,45,53
https://9gag.com/gag/avA9P0n,Awesome,2022-05-06,Appreciation post,12,3,2
https://9gag.com/gag/awzypQy,Funny,2022-03-02,Old Spice is pro-communism.,13,6,1
https://9gag.com/gag/aeg9wXQ,Funny,2022-03-02,Shit up nerds,1,10,2
https://9gag.com/gag/a61Z6Rm,Funny,2022-03-02,Memes... Memes never change.,6,8,2
https://9gag.com/gag/arnyb0p,Awesome,2022-02-27,Metal Traction Device FTW,12,5,6
https://9gag.com/gag/aOQ8V46,Funny,2022-02-26,Systematic Dehumanization,5,10,0
https://9gag.com/gag/aXrrWpP,Funny,2022-02-16,A story all too real,22,9,0
https://9gag.com/gag/a6119eA,Funny,2022-02-15,SssshhH.,14,21,5
https://9gag.com/gag/azeeM6p,Funny,2022-02-14,New orders from your fake messiah/profit/god,3,3,0
https://9gag.com/gag/agggn8n,Funny,2022-02-14,"This is an ad, doesn’t seem so bad now huh",1,9,1
https://9gag.com/gag/amgg2pV,Funny,2022-02-13,Fvck imgflip,22,21,4
https://9gag.com/gag/angg1oV,Funny,2022-02-13,It’s not fine!,24,8,1
https://9gag.com/gag/aLvv2XA,Funny,2022-02-13,Are you old enough to member?,37,13,6
https://9gag.com/gag/aGzzYb0,Funny,2022-02-12,Son of a bitc*,1,6,0
https://9gag.com/gag/aAGGR3p,Funny,2022-02-12,Buff doge vs cheems*,29,5,6
https://9gag.com/gag/aVxxjnv,Funny,2022-02-12,I’m so tired of this template,18,18,1
https://9gag.com/gag/aAGb7MZ,Funny,2022-02-10,"May I present to you, the matey in the middle.",1,5,1
https://9gag.com/gag/a51EvOV,Funny,2022-02-09,Text is for weebs,28,15,4
https://9gag.com/gag/aogMAp0,Funny,2022-02-09,Worldstar!,24,5,3
https://9gag.com/gag/aKm6vG3,Funny,2022-02-08,The horsemen of sip (spacing is hard),29,6,6
https://9gag.com/gag/aOQ3ZY3,Funny,2022-02-08,"Put the deuce in reverse, and started to curse",0,8,0
https://9gag.com/gag/aAGbE89,Funny,2022-02-08,Fight me in the comments,17,7,9
https://9gag.com/gag/ay9M9nr,Funny,2022-02-07,Oh my god who tf cares!,7,16,1
https://9gag.com/gag/aZr009V,Funny,2022-02-07,Parkour!!!,19,15,0
https://9gag.com/gag/aRrXmmB,Funny,2022-02-05,F**k it dawg lifes a risk,25,6,19
https://9gag.com/gag/ay9eO4M,Funny,2022-02-03,I’m really really sorry ok? *sniff* just don’t stick it in too far *sniff*,7,19,2
https://9gag.com/gag/amgv4gv,Funny,2022-02-03,"Go ahead, check the comments..",4,6,9
https://9gag.com/gag/a0ZNgVq,Funny,2022-02-02,"Time keeps on slippin’,",20,5,22
https://9gag.com/gag/aPZ7Lgq,Funny,2022-02-02,I’ve posted this picture in the comments so many times that this feel obligatory. Post ur best edits!,19,20,5
https://9gag.com/gag/aXrgQnP,Funny,2022-02-02,Describe your pole.....,31,27,18
https://9gag.com/gag/a81GQdV,Funny,2022-02-02,Rare form multi-meme drifting,13,11,1
https://9gag.com/gag/aE8PQ5e,Funny,2022-02-01,I @radicaledward do solemnly swear to uphold the 9gag rules and regulations on behalf of my fellow meme lords. Thank you good night,7,22,21
https://9gag.com/gag/aOQ7P6R,Funny,2022-02-01,"If you know, gtfo.",36,7,15
https://9gag.com/gag/a51WNYg,Random,2022-01-28,A Cheeky Mandos m8?,331,30,7
https://9gag.com/gag/a41ReKw,Funny,2022-01-27,Meowy wowy,642,47,18
https://9gag.com/gag/a815B5V,Funny,2022-01-27,Homemade Moonshine legal in Alaska up to 200 gallons per household,299,20,24
https://9gag.com/gag/aLv0roM,Funny,2022-01-25,I feel a lot of you don’t know this.,31,9,15
https://9gag.com/gag/a41RAWm,Funny,2022-01-24,*Systematic Dehumanization*,92,29,10
https://9gag.com/gag/aGzgGO0,Funny,2022-01-24,Based on recent events,24,30,17
https://9gag.com/gag/amg56pX,WTF,2022-01-23,Pixels? penis.,72,11,50
https://9gag.com/gag/a91R5KL,Funny,2022-01-23,"Be the freind, who crosses the boundaries.",2,1,0
https://9gag.com/gag/aOQ0ZrR,USA 🇺🇸,2022-01-23,"Be the freind, that smashes the boundaries.",2,1,0
https://9gag.com/gag/aVx0QnP,WTF,2022-01-20,I spend too much time here,18,14,6
https://9gag.com/gag/aDD1OQB,Funny,2022-01-17,POV: Tinder date forgot you at the trap house,0,7,0
https://9gag.com/gag/ajg89Q1,Funny,2022-01-14,"Hi god, I am you.",19,30,5
https://9gag.com/gag/a51MN0E,Funny,2022-01-13,Not even close...,0,10,1
https://9gag.com/gag/aE82Gwo,WTF,2022-01-12,Newest scam on 9gag Nadia.thehor.com sucks. Crop my ass,0,5,1
https://9gag.com/gag/aZr3nmn,Random,2022-01-08,Traction Device?,20,12,18
https://9gag.com/gag/adg729B,Funny,2021-12-24,This title has been removed due to a violation of 9gag standards and practices.,12,13,15
https://9gag.com/gag/aKm2e61,Ask 9GAG,2021-12-16,I’m sorry,3,5,1
https://9gag.com/gag/aDDGW3Z,Awesome,2021-12-06,REMEMBER THIS!!!,2,12,1
https://9gag.com/gag/aggVdKK,Funny,2021-12-02,Youtube,35,7,1
https://9gag.com/gag/ajgAdZ0,WTF,2021-12-02,"Youtube Implements ""Strike"" System January 5, 2022.",18,11,7
https://9gag.com/gag/a7179em,Awesome,2021-12-01,FINALLY I HAVE DONE IT!!!,2,1,3
