link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/abgKwbB,Funny,2022-06-11 11:41:54.986744,"Radioherbert. Once you hear it, you can’t unhear it.",30,8,10
https://9gag.com/gag/aKmn5wW,Movie & TV,2022-06-11 11:41:54.986744,F**king why?!?!,4,21,16
https://9gag.com/gag/azeowbN,Awesome,2022-06-11 11:41:54.986744,Papava,12,8,3
https://9gag.com/gag/aLvV5Qg,Funny,2022-06-11 11:41:54.986744,Posting my oldest and best saved images and videos from 9gag everyday. #3,51,34,11
https://9gag.com/gag/a31erLe,Ask 9GAG,2022-06-11 11:41:54.986744,Give me your favourite the boys quote.,15,14,22
https://9gag.com/gag/amgKK49,Animals,2022-06-11 11:41:54.986744,NOTE: cat was not exposed to ANY danger whatsoever….the bikes wheel is a flat disc.,12,43,8
https://9gag.com/gag/aogAAQe,Funny,2022-06-11 11:41:54.986744,Atleast we know it's her shits on the bed...,5000,551,261
https://9gag.com/gag/aNP88GA,WTF,2022-06-11 11:41:54.986744,Call us all to arms and order,10,54,14
https://9gag.com/gag/aE8yyjK,Travel & Photography,2022-06-11 11:41:54.986744,Dig deep enough and you'll uncover hell,5,4,2
https://9gag.com/gag/aDDrP1d,Random,2022-06-10 11:41:54.986744,Its getting into the dark hours of the night...let's start a conversation How are you. Where do you live and how are you feeling today?,6,15,50
https://9gag.com/gag/ay9ZzxY,Formula 1🆕,2022-06-10 11:41:54.986744,Is anyone going for the Canadian GP? Need friends,26,20,64
https://9gag.com/gag/a0ZzxRv,Music,2022-06-10 11:41:54.986744,Does anyone by chance have a functioning tab for this song? i can't find it anywhere. ( Bear McCreary - Joe's Power Ballad ),5,5,2
https://9gag.com/gag/aBnj472,Funny,2022-06-10 11:41:54.986744,Bikelane fail,12,4,9
https://9gag.com/gag/aOQNWxr,Awesome,2022-06-03 00:00:00.000000,A pill bottle with a date on it indicating when it was last opened,1200,53,88
https://9gag.com/gag/aXrQoND,Funny,2022-06-08 11:41:54.986744,Temptation,6100,374,96
https://9gag.com/gag/aAGqvWg,WTF,2022-06-10 11:41:54.986744,"Matt, The Unbeatable",9,12,1
https://9gag.com/gag/a81QVPe,Random,2022-06-10 11:41:54.986744,What if I told you the guy on top inspired the creation of the guy on the bottom,8,10,4
https://9gag.com/gag/a219OQ1,Funny,2022-06-10 11:41:54.986744,It's our meme now,91,14,5
https://9gag.com/gag/aKmnKb1,Random,2022-06-10 11:41:54.986744,My peace lily is dying! What should I do? Sarcastic answers not needed,12,24,42
https://9gag.com/gag/aVx4Bj8,Funny,2022-06-10 11:41:54.986744,Just turned 28. I have started Software Engineering 3 months ago. People my age are doing jobs from 6 years.,148,79,112
https://9gag.com/gag/aegyg0q,Funny,2022-06-08 11:41:54.986744,Hips dont lie,14,14,3
https://9gag.com/gag/aM4D4rR,Funny,2022-06-08 11:41:54.986744,Happy Pride Month,146,73,29
https://9gag.com/gag/arn9MwX,"Drawing, DIY & Crafts",2022-06-08 11:41:54.986744,"Work in progress... (posted 4 times over a week, and it's been taken down every time... Not sure why... Song in comments to go with it... Hopefully...)",11,25,17
https://9gag.com/gag/ang8Qob,Random,2022-06-08 11:41:54.986744,The local cable company is blocking the true message of Socialism!!!,2,11,2
https://9gag.com/gag/aPZz3qP,Funny,2022-06-08 11:41:54.986744,My goals are beyond thee.,549,50,19
https://9gag.com/gag/aXrQoO6,Funny,2022-06-08 11:41:54.986744,Wow... most of you will not get it,6,44,18
https://9gag.com/gag/a51vE0N,Satisfying,2022-06-08 11:41:54.986744,This gave me peace,101,15,6
https://9gag.com/gag/axBQMob,Funny,2022-06-08 11:41:54.986744,"My ball is so hurt, and bloated. Thank you for op who post testicular exam before. Now I got injected with pain killer or something.. Hope my health card can recover this.. (yes I'm broke)",9,19,26
https://9gag.com/gag/aogAMy0,WTF,2022-06-08 11:41:54.986744,Giant African Land Snail,87,20,22
https://9gag.com/gag/aGz6p8K,Music,2022-06-08 11:41:54.986744,Maxwell's silver hammer smashed face,147,7,10
https://9gag.com/gag/aE8ypAN,Funny,2022-06-08 11:41:54.986744,"This looks cool, but..that smooth uneven rock is SUCH a bad idea",1400,91,98
https://9gag.com/gag/aM4Dx9X,Funny,2022-06-07 11:41:54.986744,My name is Gustavo,18,49,6
https://9gag.com/gag/azeoMGx,Funny,2022-06-08 11:41:54.986744,Tell your friends you appreciate them,31,7,6
