link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/a81QRQ3,Random,2022-06-11 17:03:57.775307,🥺😭🌩️😢😰,13,44,10
https://9gag.com/gag/a81X0Pe,Awesome,2022-06-01 00:00:00.000000,The view from work this morning,25,5,10
https://9gag.com/gag/a41x2Ly,Animals,2022-05-24 00:00:00.000000,"Found large black dog, not friendly.",11,1,0
https://9gag.com/gag/aNP32W6,Animals,2022-05-17 00:00:00.000000,I caught crabs :(,1,1,0
https://9gag.com/gag/aBnoXmO,Animals,2022-05-17 00:00:00.000000,This f**king kitten won't stop cuddling my feet.,8,1,0
https://9gag.com/gag/a51qvQg,Cozy & Comfy,2022-05-03 00:00:00.000000,Been working on mah yard! It started raining right after I planted more shit.,29,12,7
https://9gag.com/gag/aLvdXe6,Animals,2022-05-02 00:00:00.000000,Name that critter,0,1,6
https://9gag.com/gag/aOQRqD6,Random,2022-04-29 00:00:00.000000,This was last a chicken coop/chicken yard. I made steps and a wall of pea plants that should grow over the top. The bush on the left is honeysuckle.,18,2,8
https://9gag.com/gag/angDr1q,Animals,2022-04-26 00:00:00.000000,The view from the toilet area today.,3,1,2
https://9gag.com/gag/agg4Wpq,Animals,2022-04-21 00:00:00.000000,Post titties,13,1,1
https://9gag.com/gag/aDDV4yw,Random,2022-04-16 00:00:00.000000,I just wanna be warm again :(,8,7,7
https://9gag.com/gag/a81ezz6,Animals,2022-04-12 00:00:00.000000,Look at how mad it is,12,1,1
https://9gag.com/gag/avAEjw5,Random,2022-04-06 00:00:00.000000,"Went fishing today, got 2 rainbow trout. =D",20,4,10
https://9gag.com/gag/amgmqj4,Random,2022-03-31 00:00:00.000000,I just think it's purty.,12,9,3
https://9gag.com/gag/ang28b5,Animals,2022-03-29 00:00:00.000000,Tops little...,22,2,0
https://9gag.com/gag/amg6BR9,Animals,2022-03-25 00:00:00.000000,Fbbfbki,8,0,0
https://9gag.com/gag/aBnVx3A,Animals,2022-03-25 00:00:00.000000,The youngest of the furry poop machines,23,0,1
https://9gag.com/gag/aegOyVq,Animals,2022-03-21 00:00:00.000000,I'm gonna just post their progress every few days.,18,0,0
https://9gag.com/gag/aDDnNyO,Politics,2022-03-21 00:00:00.000000,I wasn't even aware of it's existence until this year. I'm a moron.,3,4,11
https://9gag.com/gag/aQXQ1or,Animals,2022-03-18 00:00:00.000000,2 days old,2,0,0
https://9gag.com/gag/aAGEYo0,Animals,2022-03-16 00:00:00.000000,My slutty cat has brought shame upon my family. -_-,10,1,1
https://9gag.com/gag/apg37wp,Animals,2022-03-15 00:00:00.000000,Cat,4,0,0
https://9gag.com/gag/aE86Zgo,Random,2022-03-14 00:00:00.000000,Could have worded that a little better.,9,2,12
https://9gag.com/gag/agg172K,Random,2022-03-13 00:00:00.000000,I don't know what to name it... ideas?,15,7,21
https://9gag.com/gag/abge1ME,Random,2022-03-05 00:00:00.000000,It's a goddamn beautiful day,10,4,2
https://9gag.com/gag/aGzyQRK,Animals,2022-03-02 00:00:00.000000,Post tit le,54,0,0
https://9gag.com/gag/ay9NA1y,Random,2022-03-01 00:00:00.000000,Stretched out pussy. ^_- Wore her the f**k out.,10,26,1
https://9gag.com/gag/aGzzBqn,Animals,2022-02-15 00:00:00.000000,Step siblings sleep together,0,0,0
https://9gag.com/gag/aOQ3BDv,Random,2022-02-06 00:00:00.000000,The average hourly rate for females is really unfair... That's one hell of a gap!,1,6,5
https://9gag.com/gag/amgvWyo,Star Wars,2022-01-31 00:00:00.000000,Is this worth something?,27,8,15
https://9gag.com/gag/aM4YPvR,Animals,2022-01-23 00:00:00.000000,Just gave one my birds a haircut,5,0,0
https://9gag.com/gag/aegrNxm,Coronavirus,2022-01-12 00:00:00.000000,Yay!,64,19,29
https://9gag.com/gag/aXrxZR6,Funny,2022-01-04 00:00:00.000000,"Seriously, so inconvenient.",29,9,10
https://9gag.com/gag/aOQBzM3,Gaming,2021-12-29 00:00:00.000000,"I miss this. If it were available again, especially on the phone, I'd buy it. ='( Sorry whoever I sold that broken sword to. .",0,5,2
https://9gag.com/gag/ay9L16V,Awesome,2021-12-16 00:00:00.000000,The view this morning,9,2,2
https://9gag.com/gag/aM4w46M,Animals,2021-12-15 00:00:00.000000,Look at my pussy!,7,1,2
https://9gag.com/gag/aYrL75N,Awesome,2021-12-06 00:00:00.000000,Backyard,14,3,5
https://9gag.com/gag/azeA7NK,Random,2021-12-04 00:00:00.000000,This guy...,2,7,1
https://9gag.com/gag/arnKy3p,WTF,2021-11-30 00:00:00.000000,Nature,23,16,17
https://9gag.com/gag/aXrXRr9,Animals,2021-11-23 00:00:00.000000,To young pussies sleeping together,3,0,1
https://9gag.com/gag/aZrWdR0,Random,2021-11-09 00:00:00.000000,"Me, playing with my pocket pussy.",2,9,1
https://9gag.com/gag/a51NDLE,Random,2021-11-08 00:00:00.000000,Hairy pussy,201,159,11
https://9gag.com/gag/arnpjMd,Funny,2021-11-03 00:00:00.000000,"When you read the story all the way through, it gets better and better.",2,10,9
https://9gag.com/gag/a91dpVZ,Cozy & Comfy,2021-10-28 00:00:00.000000,Check out my bare wood.,115,158,12
https://9gag.com/gag/axBN1DY,Satisfying,2021-10-28 00:00:00.000000,Gently yanking my wood,3,16,2
https://9gag.com/gag/arnpeGd,Awesome,2021-10-27 00:00:00.000000,WA sunrise,7,3,2
https://9gag.com/gag/aQXPvM7,Funny,2021-10-22 00:00:00.000000,I want some of Biden too. :(,8,9,6
https://9gag.com/gag/aZrbLGW,Random,2021-10-21 00:00:00.000000,"This is normal, right?",0,5,5
https://9gag.com/gag/aKm4yVN,PC Master Race,2021-10-17 00:00:00.000000,It's been a minute...,0,0,0
https://9gag.com/gag/aM4edoX,Cozy & Comfy,2021-10-15 00:00:00.000000,Time to chill,15,7,5
https://9gag.com/gag/aze75dj,Random,2021-10-15 00:00:00.000000,I guess I've been spoiled with salmon all my life.,3,9,13
https://9gag.com/gag/aYozm0x,Random,2021-10-09 00:00:00.000000,"Don't f**king lie to yourself, you know it's true.",24,16,6
https://9gag.com/gag/a9E3O0j,History,2021-10-08 00:00:00.000000,Webster 1880,7,0,0
https://9gag.com/gag/ayMyYzY,Random,2021-10-08 00:00:00.000000,Any of these worth anything?,6,4,24
https://9gag.com/gag/aNpyBmv,Random,2021-10-08 00:00:00.000000,"A page from ""The Book of Better Babies""",0,5,4
https://9gag.com/gag/aLpqG15,Random,2021-10-08 00:00:00.000000,"Anyone ever seen this book before? The date inside is 1880, last signed by someone in 1882",10,3,7
https://9gag.com/gag/aoMB4M3,Movie & TV,2021-10-08 00:00:00.000000,I'm this old.,74,18,7
https://9gag.com/gag/aP3OPrg,Cozy & Comfy,2021-10-07 00:00:00.000000,Coziness,27,12,4
https://9gag.com/gag/aWjVLoZ,Animals,2021-10-07 00:00:00.000000,My b*tches,2,1,0
https://9gag.com/gag/a07mQwZ,Politics,2021-10-06 00:00:00.000000,Reimbursement through taxes is sneaky bullshit.,20,10,19
https://9gag.com/gag/apNypLb,Random,2021-09-28 00:00:00.000000,Right hand. What do you do for a living?,2,5,20
https://9gag.com/gag/a1rGn82,Random,2021-09-24 00:00:00.000000,Thinking about painting our mud/stove room orange.,16,10,27
https://9gag.com/gag/anQ6r3n,Random,2021-09-16 00:00:00.000000,Mushrooms,3,8,1
https://9gag.com/gag/aEp3ONO,Random,2021-09-16 00:00:00.000000,"What kind of mushroom is this? It opened more with a spongy bottom, and turned red when I rubbed the underside and stem immediately.",3,9,10
https://9gag.com/gag/a1r9Dd8,Random,2021-09-15 00:00:00.000000,Someone must pay...,0,6,3
https://9gag.com/gag/a8ExPN6,Animals,2021-09-04 00:00:00.000000,So many nipples...,3,0,0
https://9gag.com/gag/aB2e05N,Animals,2021-08-22 00:00:00.000000,Dog,0,0,0
https://9gag.com/gag/a27Xm3Y,Animals,2021-08-22 00:00:00.000000,My other b*tch,1,0,0
https://9gag.com/gag/agBww1W,Animals,2021-08-19 00:00:00.000000,So wet and slimy...,3,0,0
