link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/abgpEA8,Funny,2021-12-25,What's your flirt move?,11000,135,180
https://9gag.com/gag/a31Bq27,Funny,2021-11-28,Are you struggling currently in your life? Me:,5800,226,91
https://9gag.com/gag/aBnYWQx,Funny,2021-11-28,Close one,1300,47,27
https://9gag.com/gag/aqjA5yP,Funny,2021-06-27,Allez OPI OMI,4400,120,106
https://9gag.com/gag/aB2LxO1,Funny,2021-05-06,"Damnit, focus grandma",3300,111,88
https://9gag.com/gag/a07ZYpL,Funny,2021-04-04,Snow removal efficiency lvl 100,1400,54,25
https://9gag.com/gag/abVyMEv,Funny,2021-01-21,Doggo living his best life,2100,81,37
https://9gag.com/gag/a1W8qmP,Funny,2020-10-28,Oops,7900,619,369
https://9gag.com/gag/azmY7DB,Funny,2020-09-18,That's the laugh of a dad knowing he raised his son well,3500,78,78
https://9gag.com/gag/aO7PXdy,Funny,2020-09-12,Just a scared mouse,6100,252,93
https://9gag.com/gag/aye62ZM,Funny,2020-08-23,"""I'm free! I'm free! Dang it""",7400,387,196
https://9gag.com/gag/a7W8OOe,Funny,2020-08-06,"""F**ker""",12000,188,150
https://9gag.com/gag/amvA6xy,Funny,2020-07-26,"F**k this, I'm outta here",4000,272,118
https://9gag.com/gag/a8Gq4yV,Funny,2020-07-24,How to educate your cat,4000,137,43
https://9gag.com/gag/aeDDP0v,Funny,2020-07-10,Thicc,18000,458,230
https://9gag.com/gag/aoP9ROw,Funny,2020-05-28,A real gentleman move,7000,120,83
https://9gag.com/gag/aGdKp00,Awesome,2020-04-25,One beer to rule them all,8300,282,190
https://9gag.com/gag/a3ReqW8,Funny,2020-02-21,Kevin's doggo,6800,168,102
https://9gag.com/gag/a6NGdXA,Funny,2020-01-27,What is love?,10000,221,92
https://9gag.com/gag/a9RX6rL,Funny,2020-01-17,On my way for the week end,4500,118,72
https://9gag.com/gag/a3R4LR1,Funny,2019-11-26,Santa Claus physics,8700,129,155
https://9gag.com/gag/a3R1KyN,Funny,2019-11-14,One of those days,4200,146,88
https://9gag.com/gag/aO03KvD,Video,2019-11-06,No homo,2000,163,34
https://9gag.com/gag/aR00mPq,GIF,2019-10-25,Pretty accurate,3200,80,33
https://9gag.com/gag/aMYGb7V,GIF,2019-09-08,Busted,7100,175,266
https://9gag.com/gag/aQ1nV2q,GIF,2019-09-05,That's one beautiful smile,4700,203,90
https://9gag.com/gag/a85Y5xe,GIF,2019-08-27,Me? No I don't wear any make up,6400,532,194
https://9gag.com/gag/aVYpGxM,Awesome,2019-07-01,That's a nope for me,3400,55,82
https://9gag.com/gag/awAPDLx,Video,2019-05-14,Tell me what you hear,10000,321,94
https://9gag.com/gag/a2Z9ABd,GIF,2019-05-14,When you just want to take a lonely shit on a cornfield,6200,200,55
https://9gag.com/gag/aMZDQeR,Awesome,2019-05-10,Good old acting,7700,316,206
https://9gag.com/gag/aA3OGYE,GIF,2019-04-09,That's pure police brutality here,14000,381,726
https://9gag.com/gag/aA368MR,GIF,2019-02-25,Surprise buttsex,3100,157,105
https://9gag.com/gag/aNYD706,GIF,2019-02-11,I said pull Chris damnit !,4500,99,58
https://9gag.com/gag/aPYA9mB,Video,2019-02-06,The original recording,5400,285,89
https://9gag.com/gag/aR1EWey,GIF,2019-02-03,Fantastic collection of things caught on security camera,2900,82,29
https://9gag.com/gag/a73wvRL,Awesome,2018-12-30,Cycle Ball,6200,206,167
https://9gag.com/gag/a6OoA0L,Video,2018-12-22,Brilliant,3700,185,53
https://9gag.com/gag/adL6wXM,GIF,2018-10-26,Just a wise doggo helping you with your self esteem,7400,462,76
https://9gag.com/gag/az9Lyzz,GIF,2018-10-26,Best boss ever,16000,281,75
https://9gag.com/gag/av80jNb,Awesome,2018-10-19,Sneaking a friend into a movie theater while dressed as one person,18000,553,561
https://9gag.com/gag/aD10WXw,Awesome,2018-10-14,All you need is pizza,7600,285,123
https://9gag.com/gag/aqKmmYv,GIF,2018-10-13,You had one job,5500,152,128
https://9gag.com/gag/aZLbX5X,WTF,2018-10-11,Unbelievable how stupid people can be,3300,257,184
https://9gag.com/gag/a47DeVA,Awesome,2018-09-14,M'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord m'lady m'lord,6700,285,127
https://9gag.com/gag/aZ3GAQX,GIF,2018-09-14,Well that would've scared me shitless,8000,558,193
https://9gag.com/gag/avO3LBE,GIF,2018-09-08,How I imagine myself as a dad,7400,210,63
https://9gag.com/gag/aBxprVD,GIF,2018-09-01,"I, too, enjoy traumatising children.",9100,287,71
https://9gag.com/gag/abMN9y8,GIF,2018-08-31,Let me take that for you,3400,155,71
https://9gag.com/gag/avOq165,Video,2018-08-01,Patrick has amazing skills,2800,160,46
https://9gag.com/gag/a0Kz3Wq,GIF,2018-07-16,Beer ninja,26000,654,426
https://9gag.com/gag/aOrAYNE,Football,2018-07-13,May the best win,1700,374,142
https://9gag.com/gag/a0KxyeB,Animals,2018-07-05,Time to protect that doggo from the rain,14000,337,177
https://9gag.com/gag/a9pXvB0,Video,2018-06-09,That's why the French players always lose to Roland Garos,15000,591,187
https://9gag.com/gag/aDxVQRK,GIF,2018-06-04,Wtf man?,25000,669,177
https://9gag.com/gag/aOre5MR,Sport,2018-05-04,Ohh no you don't,1700,76,56
https://9gag.com/gag/aZ3ZnM9,Superhero,2018-04-19,"Spider-Man on the streets, Venom in the sheets",16000,596,238
https://9gag.com/gag/a6oOQZ9,Awesome,2018-03-11,F**k. That,12000,407,202
https://9gag.com/gag/agXGYqx,GIF,2018-02-09,Nice try NSA,19000,467,178
https://9gag.com/gag/a9p7gyZ,Savage,2018-02-07,Love is in the air oh oh oh oh ouuh,13000,463,427
https://9gag.com/gag/aN1KrWw,Food & Drinks,2018-01-28,Me : How much do I love pizza ? Also me :,13000,672,186
https://9gag.com/gag/anMK9wo,Animals,2018-01-24,Very deception. So betrayal.,3100,333,74
https://9gag.com/gag/awXbb41,GIF,2018-01-18,Pretty accurate,4800,370,53
https://9gag.com/gag/aN1rDW6,Sport,2018-01-10,Football is love,10000,587,543
https://9gag.com/gag/a7MLq2r,GIF,2018-01-10,Hula POV,2900,233,99
https://9gag.com/gag/azqNqBZ,Animals,2017-12-26,Doggo is excited about his new wheels so he can doggo again,3300,264,54
https://9gag.com/gag/a05A9OB,GIF,2017-12-25,"""Please Jesus, do your miracle stuff""",3800,294,67
