link,section,date,title,nb_up,nb_down,nb_comments
https://9gag.com/gag/aRr8Qnq,Funny,2022-06-12 22:02:55.509770,"When the time hits, you gotta do it",8900,199,163
https://9gag.com/gag/aWgeZNn,Funny,2022-06-12 21:02:55.509770,Just boy things,7400,341,242
https://9gag.com/gag/awzPYPD,Funny,2022-06-10 12:02:55.509770,Know your unicorn,5400,152,131
https://9gag.com/gag/aVx42md,Funny,2022-06-09 12:02:55.509770,Football players when they reached the pitch after the dive,8600,219,146
https://9gag.com/gag/aE8ypXx,WTF,2022-06-08 12:02:55.509770,The personification of toxicity,12000,849,1300
https://9gag.com/gag/a81QGgO,Funny,2022-06-08 12:02:55.509770,Every IT when they realize that they forgot to fix seven printer problems before leaving from work,11000,229,439
https://9gag.com/gag/aDDrgvO,Wholesome,2022-06-07 12:02:55.509770,Had a bad day and this little guy just made me smile,9100,201,143
https://9gag.com/gag/aBnNvyA,Funny,2022-06-02 00:00:00.000000,Happy pride something something,3100,314,282
https://9gag.com/gag/ay9V6jW,Funny,2022-06-01 00:00:00.000000,Uuuugh. So tired all the time…,6000,149,79
https://9gag.com/gag/aegPZEm,Funny,2022-06-01 00:00:00.000000,Working on it,4100,177,112
https://9gag.com/gag/a0ZW01v,WTF,2022-06-01 00:00:00.000000,Huh…・v・wtf,5400,297,167
https://9gag.com/gag/a0ZWe0X,Funny,2022-05-31 00:00:00.000000,We have been there. A wise and powerful king,6500,174,112
https://9gag.com/gag/angWzvE,Funny,2022-05-31 00:00:00.000000,One bucket of coke pls,2100,97,74
https://9gag.com/gag/aZrVy8W,Funny,2022-05-30 00:00:00.000000,Moahahah...,5500,177,72
https://9gag.com/gag/ay9V73M,Funny,2022-05-28 00:00:00.000000,True.,9000,254,219
https://9gag.com/gag/a11xzGR,WTF,2022-05-27 00:00:00.000000,Wall 1 Pinkytoe 0,11000,857,1100
https://9gag.com/gag/a61xPB9,Funny,2022-05-27 00:00:00.000000,Fish Dude,3700,66,51
https://9gag.com/gag/a41x0wy,Funny,2022-05-26 00:00:00.000000,Guess the nationality,17000,139,456
https://9gag.com/gag/aNPqbL0,Funny,2022-05-26 00:00:00.000000,The long awaited day arrived,13000,976,772
https://9gag.com/gag/aBnvoEA,Awesome,2022-05-25 00:00:00.000000,Making A Brass Extension For Severed Thumb.,5800,412,187
https://9gag.com/gag/abgdR79,Funny,2022-05-25 00:00:00.000000,Then someone told her to be less white,7800,190,238
https://9gag.com/gag/a21xDbw,Funny,2022-05-24 00:00:00.000000,The wisdom of an elder,12000,213,157
https://9gag.com/gag/aggdxon,Funny,2022-05-24 00:00:00.000000,Literally me 🥴,12000,781,170
https://9gag.com/gag/apgd1LD,Funny,2022-05-23 00:00:00.000000,Helicopter,5900,91,81
https://9gag.com/gag/aGzoLV7,Funny,2022-05-23 00:00:00.000000,"I don't get it though, he was driving fine for so many years",14000,365,929
https://9gag.com/gag/apgdRz5,Funny,2022-05-23 00:00:00.000000,In case you have a bad day,7500,227,82
https://9gag.com/gag/aE8Q00o,Funny,2022-05-23 00:00:00.000000,That's gonna leave a mark,1500,102,80
https://9gag.com/gag/aDDPwDZ,Funny,2022-05-20 00:00:00.000000,"A day before payday, mind you",6400,159,217
https://9gag.com/gag/a91VdwD,Funny,2022-05-20 00:00:00.000000,Bonk!,3600,99,63
https://9gag.com/gag/aegWqgq,Awesome,2022-05-18 00:00:00.000000,Impressive work-out using a piece of wood.,517,114,122
https://9gag.com/gag/aM4y616,Football,2022-05-18 00:00:00.000000,It's like his life depended on it,20000,448,641
https://9gag.com/gag/avAm9wq,Funny,2022-05-17 00:00:00.000000,Dramatic Exit,4500,160,127
https://9gag.com/gag/a31nnj3,Funny,2022-05-17 00:00:00.000000,M‘Lord,50,19,23
https://9gag.com/gag/a11wO68,Funny,2022-05-17 00:00:00.000000,That is ok,9000,563,287
https://9gag.com/gag/aE8EZMG,Football,2022-05-17 00:00:00.000000,Curve it like Roberto Carlos,13000,507,578
https://9gag.com/gag/aWg9vbn,Funny,2022-05-16 00:00:00.000000,Code brown it is,8500,169,220
https://9gag.com/gag/a618nZR,Funny,2022-05-16 00:00:00.000000,"Help, he does those things again",7100,169,97
https://9gag.com/gag/a81z8e1,WTF,2022-05-14 00:00:00.000000,What is this?! Bridge for ants?!,20000,2100,1200
https://9gag.com/gag/avAmGgd,Awesome,2022-05-14 00:00:00.000000,What a header!,8300,159,151
https://9gag.com/gag/aGzb0WG,Funny,2022-05-14 00:00:00.000000,I ain't 'fraid of no post...,7800,220,69
https://9gag.com/gag/aWgRzLx,Funny,2022-05-12 00:00:00.000000,Hold up so that's how they are made,9100,229,152
https://9gag.com/gag/arn8wrX,Funny,2022-05-11 00:00:00.000000,Mothertruckers,842,85,14
https://9gag.com/gag/aOQpWz3,Funny,2022-05-11 00:00:00.000000,Once upon a time,8600,476,334
https://9gag.com/gag/aAGvKNp,Awesome,2022-05-09 00:00:00.000000,This woman is a true hero,2900,87,219
https://9gag.com/gag/a31N08r,Awesome,2022-05-09 00:00:00.000000,How Legend eat gum,13000,350,439
https://9gag.com/gag/a41wPWm,Funny,2022-05-08 00:00:00.000000,"""sit down""",5300,409,192
https://9gag.com/gag/aGz7Kx5,Funny,2022-05-05 00:00:00.000000,Get your dill on,4900,223,347
https://9gag.com/gag/aggEPRq,Random,2022-05-05 00:00:00.000000,40kg of trash pick up today. I’m still cleaning. Your Cleaning Guy.,10000,779,422
